model,mix,items_per_lang,eval_lang,prob_forget,prob_retain,model_utility,metric,baseline,best_alpha,best,recovery,random_delta
en,monolingual,40,en,0.009993622597831837,0.5939459589417675,0.5049930066084426,rougeL_recall,0.4233414663934262,0.5,0.4708185164957365,0.04747705010231035,0.004611342224062842
en+fr+ar_third,interleave,14,en,0.034655773319879166,0.7969940780266549,0.5122188033810864,rougeL_recall,0.4581780771816132,0.0,0.4581780771816132,0.0,0.0
en+fr+ar_third,interleave,13,fr,0.059132687152746666,0.7058314224331861,0.4459280415970795,chrf,0.3942468904352934,0.5,0.4009305713931427,0.006683680957849325,0.0
en+fr+ar_third,interleave,13,ar,0.11232015596663789,0.5419753549246906,0.4103371041429687,chrf,0.28175782345277156,0.0,0.28175782345277156,0.0,0.0
en+fr+ja+ar_quarter,interleave,10,en,0.09819768212120361,0.8335585919614088,0.5231609228751203,rougeL_recall,0.4978133675156678,0.5,0.5114100652070458,0.013596697691378001,0.013543368516333143
en+fr+ja+ar_quarter,interleave,10,fr,0.21956081426589197,0.7880638382946913,0.4526903921279873,chrf,0.4346274969543481,0.0,0.4346274969543481,0.0,0.007483148786154137
en+fr+ja+ar_quarter,interleave,10,ar,0.2466061319552658,0.6966677487995451,0.4234576759716823,chrf,0.28702392974711294,0.5,0.31192990843208324,0.024905978684970298,0.011700904632709563
en+fr+ja+ar_quarter,interleave,10,ja,0.15868341516054804,0.5959841083193773,0.4697357186982235,chrf,0.16739111794809478,0.5,0.18578545901565485,0.018394341067560077,0.0
en+fr+ja_third,interleave,14,en,0.04115797690863345,0.836011547982211,0.5156497276588081,rougeL_recall,0.43861297752462214,0.5,0.49019365334920223,0.05158067582458009,0.04232040286838917
en+fr+ja_third,interleave,13,fr,0.08586195115596959,0.7785807150152505,0.4374703391924536,chrf,0.3972934350334924,0.0,0.3972934350334924,0.0,0.0
en+fr+ja_third,interleave,13,ja,0.12828098992618903,0.6259766069824115,0.4636668356425295,chrf,0.1652355441008047,0.5,0.18639933952758983,0.02116379542678512,0.008587843848543164
en+fr_half,interleave,20,en,0.010460052213250724,0.7138325705616776,0.5029337624024042,rougeL_recall,0.35225686195385775,0.5,0.4168636245389183,0.06460676258506054,0.004192346176199013
en+fr_half,interleave,20,fr,0.04204400803148753,0.7146185828701915,0.44122301700107375,chrf,0.36903713690226103,0.0,0.36903713690226103,0.0,0.0
en+iw_half,interleave,20,en,0.10698911784830778,0.829573709186401,0.5205393670162467,rougeL_recall,0.47336035684238614,0.5,0.4928182618192234,0.019457904976837248,0.02123412070533376
en+iw_half,interleave,20,iw,0.08420610855090786,0.6735121662267202,0.3840808426189725,chrf,0.2818175540519233,0.5,0.30279755552517745,0.02098000147325413,0.0
iw,monolingual,40,iw,0.01286898286401974,0.513971345571977,0.40064219023024034,chrf,0.16968370602146282,0.5,0.248953613994468,0.07926990797300518,0.007139525937425395
