model,eval_lang,unlearned_in,n,metric,baseline,best_alpha,best,recovery
en+fr+ar_third,ar,en,14,chrf,0.30545829471723623,0.0,0.30545829471723623,0.0
en+fr+ar_third,ar,fr,13,chrf,0.2572179710770299,0.0,0.2572179710770299,0.0
en+fr+ar_third,ar,ar,13,chrf,0.2807740913898588,0.0,0.2807740913898588,0.0
en+fr+ar_third,en,en,14,rougeL_recall,0.4751101450028598,0.0,0.4751101450028598,0.0
en+fr+ar_third,en,fr,13,rougeL_recall,0.37917621766355747,0.0,0.37917621766355747,0.0
en+fr+ar_third,en,ar,13,rougeL_recall,0.5189454021229418,0.0,0.5189454021229418,0.0
en+fr+ar_third,fr,en,14,chrf,0.4134597559790896,0.5,0.40415098693896584,-0.009308769040123788
en+fr+ar_third,fr,fr,13,chrf,0.3858623880986912,0.5,0.4013378184429117,0.015475430344220498
en+fr+ar_third,fr,ar,13,chrf,0.3819406144939609,0.5,0.3970551845247948,0.01511457003083394
en+fr+ja+ar_quarter,ar,en,10,chrf,0.3163817288603448,0.5,0.3511601930615643,0.034778464201219494
en+fr+ja+ar_quarter,ar,fr,10,chrf,0.294686674159324,0.5,0.24929052936472296,-0.04539614479460102
en+fr+ja+ar_quarter,ar,ja,10,chrf,0.2950788975663645,0.5,0.34181090413681303,0.046732006570448514
en+fr+ja+ar_quarter,ar,ar,10,chrf,0.24194841840241832,0.5,0.30545800716523275,0.06350958876281443
en+fr+ja+ar_quarter,en,en,10,rougeL_recall,0.5059092265848419,0.5,0.4672244609030901,-0.03868476568175183
en+fr+ja+ar_quarter,en,fr,10,rougeL_recall,0.41681391734035794,0.5,0.4663987225157079,0.049584805175349966
en+fr+ja+ar_quarter,en,ja,10,rougeL_recall,0.5430612406252824,0.5,0.5335321978253666,-0.009529042799915732
en+fr+ja+ar_quarter,en,ar,10,rougeL_recall,0.525469085512189,0.5,0.5784848795840175,0.05301579407182855
en+fr+ja+ar_quarter,fr,en,10,chrf,0.43446812617663755,0.0,0.43446812617663755,0.0
en+fr+ja+ar_quarter,fr,fr,10,chrf,0.3750177057796699,0.0,0.3750177057796699,0.0
en+fr+ja+ar_quarter,fr,ja,10,chrf,0.4748749553593196,0.0,0.4748749553593196,0.0
en+fr+ja+ar_quarter,fr,ar,10,chrf,0.4541492005017659,0.0,0.4541492005017659,0.0
en+fr+ja+ar_quarter,ja,en,10,chrf,0.20539668225242194,0.5,0.19309062583671177,-0.01230605641571017
en+fr+ja+ar_quarter,ja,fr,10,chrf,0.1840023724612311,0.5,0.21469467362818037,0.030692301166949265
en+fr+ja+ar_quarter,ja,ja,10,chrf,0.11674596367414983,0.5,0.1580744029487697,0.04132843927461988
en+fr+ja+ar_quarter,ja,ar,10,chrf,0.16341945340457625,0.5,0.17728213364895754,0.013862680244381281
en+fr+ja_third,en,en,14,rougeL_recall,0.40295541529891643,0.5,0.49694496145693823,0.0939895461580218
en+fr+ja_third,en,fr,13,rougeL_recall,0.3983788530703199,0.5,0.4183110043695925,0.019932151299272616
en+fr+ja_third,en,ja,13,rougeL_recall,0.5172475536066071,0.5,0.5548056628281732,0.037558109221566105
en+fr+ja_third,fr,en,14,chrf,0.3685135877569719,0.0,0.3685135877569719,0.0
en+fr+ja_third,fr,fr,13,chrf,0.42266666415764426,0.0,0.42266666415764426,0.0
en+fr+ja_third,fr,ja,13,chrf,0.4029138875917472,0.0,0.4029138875917472,0.0
en+fr+ja_third,ja,en,14,chrf,0.17640604101088792,0.5,0.19656508813795862,0.0201590471270707
en+fr+ja_third,ja,fr,13,chrf,0.1572516662593856,0.5,0.1744013961772213,0.0171497299178357
en+fr+ja_third,ja,ja,13,chrf,0.16118965603905724,0.5,0.18744955360525345,0.026259897566196205
en+fr_half,en,en,20,rougeL_recall,0.35633712886966973,0.5,0.4322948086719558,0.07595767980228607
en+fr_half,en,fr,20,rougeL_recall,0.3481765950380459,0.5,0.40143244040588044,0.053255845367834564
en+fr_half,fr,en,20,chrf,0.41022391735683195,0.0,0.41022391735683195,0.0
en+fr_half,fr,fr,20,chrf,0.32785035644769017,0.0,0.32785035644769017,0.0
en+iw_half,en,en,20,rougeL_recall,0.46936634005588207,0.5,0.4957605267333666,0.026394186677484555
en+iw_half,en,iw,20,rougeL_recall,0.4773543736288902,0.5,0.48987599690508,0.012521623276189775
en+iw_half,iw,en,20,chrf,0.3114061807089796,0.5,0.32310077024581635,0.011694589536836775
en+iw_half,iw,iw,20,chrf,0.25222892739486713,0.5,0.2824943408045385,0.03026541340967137
