model,eval_lang,unlearned_in,n,metric,baseline,best_alpha,best,recovery
en+fr+ar_third,ar,en,14,chrf,0.30545829471723623,0.8,0.08968665885617282,-0.2157716358610634
en+fr+ar_third,ar,fr,13,chrf,0.2572179710770299,0.8,0.10521049691942806,-0.15200747415760185
en+fr+ar_third,ar,ar,13,chrf,0.2807740913898588,0.8,0.12288535449558148,-0.15788873689427735
en+fr+ar_third,en,en,14,rougeL_recall,0.4751101450028598,0.5,0.4748677318421278,-0.00024241316073198016
en+fr+ar_third,en,fr,13,rougeL_recall,0.37917621766355747,0.5,0.5043987709467567,0.1252225532831992
en+fr+ar_third,en,ar,13,rougeL_recall,0.5189454021229418,0.5,0.44797301757334745,-0.07097238454959437
en+fr+ar_third,fr,en,14,chrf,0.4134597559790896,0.8,0.2346856373709297,-0.17877411860815992
en+fr+ar_third,fr,fr,13,chrf,0.3858623880986912,0.8,0.21151491682146262,-0.1743474712772286
en+fr+ar_third,fr,ar,13,chrf,0.3819406144939609,0.8,0.1836707874016384,-0.1982698270923225
en+fr+ja+ar_quarter,ar,en,10,chrf,0.3163817288603448,0.8,0.11824938628613743,-0.1981323425742074
en+fr+ja+ar_quarter,ar,fr,10,chrf,0.294686674159324,0.8,0.10946012441534665,-0.18522654974397734
en+fr+ja+ar_quarter,ar,ja,10,chrf,0.2950788975663645,0.8,0.06749378869335286,-0.22758510887301164
en+fr+ja+ar_quarter,ar,ar,10,chrf,0.24194841840241832,0.8,0.08109684854292572,-0.16085156985949262
en+fr+ja+ar_quarter,en,en,10,rougeL_recall,0.5059092265848419,0.5,0.46258789721004384,-0.0433213293747981
en+fr+ja+ar_quarter,en,fr,10,rougeL_recall,0.41681391734035794,0.5,0.4941575881008369,0.07734367076047893
en+fr+ja+ar_quarter,en,ja,10,rougeL_recall,0.5430612406252824,0.5,0.568049117496461,0.02498787687117865
en+fr+ja+ar_quarter,en,ar,10,rougeL_recall,0.525469085512189,0.5,0.4503307755462928,-0.07513830996589616
en+fr+ja+ar_quarter,fr,en,10,chrf,0.43446812617663755,0.8,0.2506969145213276,-0.18377121165530996
en+fr+ja+ar_quarter,fr,fr,10,chrf,0.3750177057796699,0.8,0.21210987255384736,-0.16290783322582256
en+fr+ja+ar_quarter,fr,ja,10,chrf,0.4748749553593196,0.8,0.2377243907864106,-0.237150564572909
en+fr+ja+ar_quarter,fr,ar,10,chrf,0.4541492005017659,0.8,0.22029553425176535,-0.23385366625000054
en+fr+ja+ar_quarter,ja,en,10,chrf,0.20539668225242194,0.8,0.0450336768836641,-0.16036300536875783
en+fr+ja+ar_quarter,ja,fr,10,chrf,0.1840023724612311,0.8,0.05335312326880539,-0.1306492491924257
en+fr+ja+ar_quarter,ja,ja,10,chrf,0.11674596367414983,0.8,0.040110479298334036,-0.0766354843758158
en+fr+ja+ar_quarter,ja,ar,10,chrf,0.16341945340457625,0.8,0.05287999731737403,-0.11053945608720223
en+fr+ja_third,en,en,14,rougeL_recall,0.40295541529891643,0.5,0.4611937138478333,0.05823829854891688
en+fr+ja_third,en,fr,13,rougeL_recall,0.3983788530703199,0.5,0.43871337198979365,0.04033451891947376
en+fr+ja_third,en,ja,13,rougeL_recall,0.5172475536066071,0.5,0.5330881000809465,0.015840546474339412
en+fr+ja_third,fr,en,14,chrf,0.3685135877569719,0.8,0.24690643400536258,-0.12160715375160933
en+fr+ja_third,fr,fr,13,chrf,0.42266666415764426,0.8,0.2462893922748623,-0.17637727188278196
en+fr+ja_third,fr,ja,13,chrf,0.4029138875917472,0.8,0.2515075538182065,-0.15140633377354068
en+fr+ja_third,ja,en,14,chrf,0.17640604101088792,0.8,0.05760800848162613,-0.11879803252926179
en+fr+ja_third,ja,fr,13,chrf,0.1572516662593856,0.8,0.05880734145210674,-0.09844432480727887
en+fr+ja_third,ja,ja,13,chrf,0.16118965603905724,0.8,0.05067508143814073,-0.11051457460091652
en+fr_half,en,en,20,rougeL_recall,0.35633712886966973,0.5,0.46085223620197,0.1045151073323003
en+fr_half,en,fr,20,rougeL_recall,0.3481765950380459,0.5,0.46958907268116723,0.12141247764312135
en+fr_half,fr,en,20,chrf,0.41022391735683195,0.8,0.24809375102113237,-0.16213016633569957
en+fr_half,fr,fr,20,chrf,0.32785035644769017,0.8,0.19812225091108057,-0.1297281055366096
en+iw_half,en,en,20,rougeL_recall,0.46936634005588207,0.5,0.5215941173475279,0.05222777729164585
en+iw_half,en,iw,20,rougeL_recall,0.4773543736288902,0.5,0.49559388406256666,0.018239510433676442
en+iw_half,iw,en,20,chrf,0.3114061807089796,0.8,0.11065624240439047,-0.2007499383045891
en+iw_half,iw,iw,20,chrf,0.25222892739486713,0.8,0.0983985106763907,-0.15383041671847641
